Year,Type,Country,Age,Fatal (Y/N),Activity,Specie,Month,Sex
2013,Provoked,FRANCE,50,False,Unknown,mako,8,M
2013,Unprovoked,USA,11,False,Unknown,unknown,8,F
2013,Unprovoked,USA,16,False,Water Activity,unknown,8,M
2013,Unprovoked,USA,20,True,Water Activity,tiger,8,F
2013,Unprovoked,USA,19,False,Unknown,unknown,8,F
2013,Unprovoked,USA,10,False,Water Activity,bull,8,M
2013,Unprovoked,USA,17,False,Fishing,bull,8,M
2013,Unprovoked,USA,56,False,Water Activity,unknown,7,F
2013,Unprovoked,USA,32,False,Water Activity,unknown,7,M
2013,Unprovoked,BAHAMAS,40,False,Fishing,unknown,7,M
2013,Unprovoked,USA,18,False,Water Activity,tiger,7,M
2013,Unprovoked,BAHAMAS,64,False,Unknown,nurse,7,M
2013,Unprovoked,BAHAMAS,50,False,Water Activity,unknown,7,M
2013,Unprovoked,BRAZIL,18,True,Water Activity,unknown,7,F
2013,Unprovoked,USA,50,False,Unknown,unknown,7,F
2013,Unprovoked,REUNION,15,True,Unknown,unknown,7,F
2013,Unprovoked,DIEGO GARCIA,33,True,Water Activity,unknown,7,M
2013,Unprovoked,USA,63,False,Unknown,unknown,7,F
2013,Invalid,SPAIN,48,False,Water Activity,unknown,7,M
2013,Unprovoked,AUSTRALIA,29,False,Unknown,unknown,7,M
2013,Invalid,JAMAICA,20,True,Unknown,unknown,6,M
2013,Unprovoked,USA,14,False,Water Activity,unknown,6,M
2013,Unprovoked,USA,28,False,Water Activity,tiger,6,M
2013,Unprovoked,USA,15,False,Water Activity,unknown,6,M
2013,Unprovoked,USA,10,False,Unknown,unknown,6,F
2013,Provoked,USA,58,False,Unknown,lemon,6,M
2013,Unprovoked,USA,32,False,Water Activity,unknown,5,M
2013,Unprovoked,USA,11,False,Water Activity,unknown,5,M
2013,Unprovoked,BRAZIL,41,True,Unknown,unknown,5,M
2013,Provoked,PALESTINIAN TERRITORIES,30,False,Fishing,unknown,5,M
2013,Unprovoked,ECUADOR,29,False,Water Activity,unknown,5,M
2013,Invalid,USA,42,True,Water Activity,unknown,5,M
2013,Unprovoked,REUNION,36,True,Unknown,bull,5,M
2013,Unprovoked,USA,16,False,Water Activity,unknown,5,M
2013,Unprovoked,MEXICO,34,False,Water Activity,tiger,4,F
2013,Unprovoked,AUSTRALIA,51,False,Fishing,grey,4,M
2013,Unprovoked,USA,9,False,Unknown,unknown,4,M
2013,Unprovoked,USA,21,False,Water Activity,bull,4,M
2013,Unprovoked,GUAM,40,True,Unknown,unknown,4,M
2013,Unprovoked,FRENCH POLYNESIA,53,False,Unknown,blacktip,4,M
2013,Unprovoked,USA,50,False,Water Activity,unknown,4,M
2013,Invalid,AUSTRALIA,24,True,Unknown,unknown,4,M
2013,Unprovoked,USA,58,False,Water Activity,unknown,4,M
2013,Invalid,AUSTRALIA,47,False,Water Activity,unknown,3,M
2013,Unprovoked,SEYCHELLES,34,False,Unknown,unknown,3,M
2013,Unprovoked,BAHAMAS,50,False,Unknown,unknown,3,M
2013,Provoked,SOUTH AFRICA,30,False,Unknown,unknown,3,M
2013,Unprovoked,JAMAICA,68,True,Fishing,tiger,3,M
2013,Unprovoked,AUSTRALIA,28,False,Fishing,unknown,3,M
2013,Unprovoked,SOUTH AFRICA,39,False,Water Activity,unknown,3,M
2013,Unprovoked,NEW ZEALAND,46,True,Water Activity,white,2,M
2013,Unprovoked,USA,16,False,Water Activity,blacktip,2,M
2013,Unprovoked,FRENCH POLYNESIA,48,False,Unknown,lemon,2,M
2013,Unprovoked,JAMAICA,18,False,Unknown,unknown,2,M
2013,Invalid,AUSTRALIA,62,False,Unknown,unknown,1,M
2013,Unprovoked,USA,43,False,Water Activity,tiger,1,M
2013,Unprovoked,AUSTRALIA,26,False,Unknown,unknown,1,M
2012,Unprovoked,AUSTRALIA,23,False,Water Activity,unknown,12,M
2012,Unprovoked,AUSTRALIA,29,False,Unknown,bull,12,M
2012,Unprovoked,SOUTH AFRICA,20,True,Water Activity,tiger,12,M
2012,Unprovoked,AUSTRALIA,32,False,Water Activity,tiger,12,M
2012,Unprovoked,USA,60,False,Water Activity,unknown,12,M
2012,Unprovoked,AUSTRALIA,31,False,Fishing,tiger,12,M
2012,Unprovoked,NEW ZEALAND,25,False,Unknown,unknown,12,F
2012,Unprovoked,USA,61,False,Water Activity,tiger,11,M
2012,Invalid,AUSTRALIA,20,False,Unknown,unknown,11,M
2012,Unprovoked,MEXICO,32,True,Water Activity,unknown,11,M
