Year,Type,Country,Sex ,Age,Fatal (Y/N)
2012.0,Unprovoked,USA,M,56,N
2012.0,Unprovoked,REUNION,M,39,N
2012.0,Unprovoked,USA,M,17,N
2012.0,Unprovoked,AUSTRALIA,M,48,N
2012.0,Unprovoked,USA,M,44,N
2012.0,Unprovoked,USA,M,50,N
2012.0,Invalid,USA,M,12,N
2012.0,Unprovoked,REUNION,M,22,Y
2012.0,Invalid,TRINIDAD & TOBAGO,M,24,Y
2012.0,Invalid,CANADA,F,23,N
2012.0,Unprovoked,AUSTRALIA,M,24,Y
2012.0,Unprovoked,USA,F,43,N
2012.0,Invalid,AUSTRALIA,F,42,Y
2012.0,Unprovoked,USA,M,52,N
2012.0,Unprovoked,SOUTH AFRICA,M,29,N
2012.0,Unprovoked,USA,M,6,N
2012.0,Unprovoked,USA,M,26,N
2012.0,Unprovoked,USA,F,16,N
2012.0,Unprovoked,USA,M,12,N
2012.0,Unprovoked,AUSTRALIA,M,62,N
2012.0,Invalid,USA,M,16,N
2012.0,Unprovoked,USA,F,6,N
2012.0,Provoked,USA,M,23,N
2012.0,Unprovoked,USA,F,18,N
2012.0,Unprovoked,USA,M,16,N
2012.0,Unprovoked,AUSTRALIA,M,42,N
2012.0,Provoked,ITALY,M,57,2017
2012.0,Unprovoked,AUSTRALIA,M,30,N
2012.0,Unprovoked,USA,F,12,N
2012.0,Unprovoked,USA,M,25,N
2012.0,Unprovoked,USA,F,33,N
2012.0,Unprovoked,MEXICO,M,46,N
2012.0,Unprovoked,USA,M,22,N
2012.0,Unprovoked,FIJI,M,20,N
2012.0,Unprovoked,USA,M,30,N
2012.0,Unprovoked,USA,F,47,N
2012.0,Unprovoked,USA,F,15,N
2012.0,Unprovoked,USA,M,28,N
2012.0,Unprovoked,SOUTH AFRICA,M,20,Y
2012.0,Unprovoked,AUSTRALIA,M,27,N
2012.0,Unprovoked,USA,M,28,N
2012.0,Unprovoked,AUSTRALIA,M,33,Y
2012.0,Unprovoked,USA,M,21,N
2012.0,Unprovoked,AUSTRALIA,M,20,N
2012.0,Unprovoked,USA,M,61,N
2012.0,Unprovoked,USA,F,15,N
2012.0,Unprovoked,USA,M,17,N
2012.0,Provoked,AUSTRALIA,F,34,N
2012.0,Unprovoked,REUNION,M,31,N
2012.0,Unprovoked,USA,M,19,N
2012.0,Invalid,SAUDI ARABIA,M,42,N
2012.0,Unprovoked,AUSTRALIA,M,29,N
2012.0,Unprovoked,AUSTRALIA,M,26,N
2012.0,Provoked,TAIWAN,M,24,N
2012.0,Unprovoked,AUSTRALIA,M,44,N
2012.0,Unprovoked,SOUTH AFRICA,M,25,Y
2012.0,Unprovoked,USA,M,53,N
2012.0,Unprovoked,AUSTRALIA,M,28,N
2012.0,Unprovoked,AUSTRALIA,M,34,N
2011.0,Unprovoked,ECUADOR,M,23,N
2011.0,Unprovoked,USA,M,27,N
2011.0,Unprovoked,SOUTH AFRICA,M,35,N
2011.0,Unprovoked,AUSTRALIA,M,51,N
2011.0,Unprovoked,AUSTRALIA,M,14,N
2011.0,Unprovoked,AUSTRALIA,M,63,N
2011.0,Unprovoked,INDONESIA,M,18,N
2011.0,Unprovoked,AUSTRALIA,M,10,N
