Year,Type,Country,Sex ,Age,Fatal (Y/N)
2015.0,UNPROVOKED,USA,F,,N
2015.0,UNPROVOKED,USA,F,,N
2015.0,UNPROVOKED,FRENCHPOLYNESIA,M,,N
2015.0,UNPROVOKED,USA,F,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,NEWCALEDONIA,M,,Y
2015.0,UNPROVOKED,SOUTHAFRICA,M,,N
2015.0,UNPROVOKED,USA,F,,Y
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,AUSTRALIA,M,,N
2015.0,UNPROVOKED,AUSTRALIA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,REUNION,M,,Y
2015.0,UNPROVOKED,USA,M,,N
2015.0,INVALID,ITALY,M,,Y
2015.0,INVALID,BRAZIL,M,,N
2015.0,BOAT,SOUTHAFRICA,M,,N
2015.0,UNPROVOKED,EGYPT,M,,Y
2015.0,UNPROVOKED,USA,M,,N
2015.0,UNPROVOKED,FRENCHPOLYNESIA,M,,N
2015.0,PROVOKED,MEXICO,M,,N
2015.0,UNPROVOKED,FRENCHPOLYNESIA,M,MONTHS,N
2015.0,UNPROVOKED,REUNION,F,,Y
2015.0,UNPROVOKED,AUSTRALIA,M,,Y
2015.0,UNPROVOKED,AUSTRALIA,M,,N
2015.0,BOAT,AUSTRALIA,M,,N
2015.0,PROVOKED,USA,M,,N
2015.0,UNPROVOKED,SOUTHAFRICA,M,,N
2015.0,UNPROVOKED,AUSTRALIA,M,,N
2015.0,INVALID,USA,M,,N
2015.0,UNPROVOKED,BAHAMAS,F,,N
2015.0,UNPROVOKED,SOUTHAFRICA,M,,N
2015.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,AUSTRALIA,M,,Y
2014.0,UNPROVOKED,USA,M,,N
2014.0,PROVOKED,AUSTRALIA,M,S,N
2014.0,UNPROVOKED,AUSTRALIA,M,,Y
2014.0,UNPROVOKED,AUSTRALIA,M,,N
2014.0,PROVOKED,MAURITIUS,M,,Y
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,F,,N
2014.0,PROVOKED,AUSTRALIA,M,,N
2014.0,UNPROVOKED,AUSTRALIA,F,,N
2014.0,UNPROVOKED,USA,F,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,F,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,AUSTRALIA,M,,N
2014.0,UNPROVOKED,FRENCHPOLYNESIA,F,,N
2014.0,UNPROVOKED,AUSTRALIA,M,,Y
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,F,S,N
2014.0,PROVOKED,USA,M,,N
2014.0,UNPROVOKED,SPAIN,M,,N
2014.0,UNPROVOKED,USA,F,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,PROVOKED,USA,M,,N
2014.0,UNPROVOKED,SPAIN,F,S,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,AUSTRALIA,M,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,F,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,F,,N
2014.0,UNPROVOKED,USA,M,S,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,SOUTHAFRICA,M,,N
2014.0,UNPROVOKED,USA,M,TEEN,N
2014.0,UNPROVOKED,REUNION,M,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,INVALID,BAHAMAS,M,,Y
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,BOAT,STMARTIN,M,,N
2014.0,UNPROVOKED,BAHAMAS,M,,N
2014.0,UNPROVOKED,AUSTRALIA,M,,N
2014.0,UNPROVOKED,BRAZIL,M,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,AUSTRALIA,M,,N
2014.0,UNPROVOKED,JAPAN,M,,N
2014.0,UNPROVOKED,USA,F,,N
2014.0,UNPROVOKED,USA,F,,N
2014.0,UNPROVOKED,USA,F,,N
2014.0,UNPROVOKED,AUSTRALIA,F,,N
2014.0,PROVOKED,AUSTRALIA,M,,N
2014.0,UNPROVOKED,USA,F,,N
2014.0,UNPROVOKED,AUSTRALIA,M,,N
2014.0,UNPROVOKED,USA,F,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,F,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,USA,M,TEEN,N
2014.0,UNPROVOKED,USA,M,TEEN,N
2014.0,UNPROVOKED,AUSTRALIA,F,,Y
2014.0,INVALID,AUSTRALIA,M,,Y
2014.0,UNPROVOKED,SOUTHAFRICA,M,,Y
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,NEWCALEDONIA,M,,N
2014.0,UNPROVOKED,AUSTRALIA,M,,N
2014.0,INVALID,AUSTRALIA,F,,N
2014.0,UNPROVOKED,USA,M,,N
2014.0,UNPROVOKED,FRENCHPOLYNESIA,M,,N
2014.0,BOAT,PAPUANEWGUINEA,M,,N
2014.0,UNPROVOKED,AUSTRALIA,M,,Y
2014.0,UNPROVOKED,NEWZEALAND,M,,N
2014.0,UNPROVOKED,NEWZEALAND,M,,N
2014.0,SEADISASTER,JAPAN,M,,N
2013.0,UNPROVOKED,NEWCALEDONIA,M,,N
2013.0,UNPROVOKED,SOUTHAFRICA,M,,N
2013.0,UNPROVOKED,KIRIBATI,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,AUSTRALIA,M,,N
2013.0,UNPROVOKED,USA,M,,Y
2013.0,UNPROVOKED,AUSTRALIA,M,,Y
2013.0,UNPROVOKED,USA,F,,N
2013.0,UNPROVOKED,AUSTRALIA,M,,Y
2013.0,UNPROVOKED,USA,M,,N
2013.0,PROVOKED,BAHAMAS,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,AUSTRALIA,F,,N
2013.0,UNPROVOKED,REUNION,M,,N
2013.0,UNPROVOKED,AUSTRALIA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,SOUTHAFRICA,M,,Y
2013.0,UNPROVOKED,AUSTRALIA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,PROVOKED,ISRAEL,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,F,,N
2013.0,PROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,PROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,INVALID,USA,F,,N
2013.0,PROVOKED,FRANCE,M,,N
2013.0,UNPROVOKED,USA,F,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,F,,Y
2013.0,UNPROVOKED,USA,F,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,F,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,BAHAMAS,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,BAHAMAS,M,,N
2013.0,UNPROVOKED,BAHAMAS,M,,N
2013.0,UNPROVOKED,BRAZIL,F,,Y
2013.0,UNPROVOKED,USA,F,,N
2013.0,UNPROVOKED,USA,M,TEEN,N
2013.0,UNPROVOKED,REUNION,F,,Y
2013.0,UNPROVOKED,DIEGOGARCIA,M,,Y
2013.0,UNPROVOKED,USA,F,,N
2013.0,INVALID,SPAIN,M,,N
2013.0,UNPROVOKED,AUSTRALIA,M,,N
2013.0,INVALID,JAMAICA,M,,Y
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,F,,N
2013.0,PROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,BRAZIL,M,,Y
2013.0,PROVOKED,PALESTINIANTERRITORIES,M,,N
2013.0,UNPROVOKED,ECUADOR,M,,N
2013.0,INVALID,USA,M,,Y
2013.0,UNPROVOKED,REUNION,M,,Y
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,MEXICO,F,,N
2013.0,UNPROVOKED,AUSTRALIA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,GUAM,M,,Y
2013.0,UNPROVOKED,FRENCHPOLYNESIA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,INVALID,AUSTRALIA,M,,Y
2013.0,UNPROVOKED,USA,M,,N
2013.0,INVALID,AUSTRALIA,M,,N
2013.0,UNPROVOKED,SEYCHELLES,M,,N
2013.0,UNPROVOKED,BAHAMAS,M,,N
2013.0,PROVOKED,SOUTHAFRICA,M,,N
2013.0,UNPROVOKED,JAMAICA,M,,Y
2013.0,UNPROVOKED,AUSTRALIA,M,,N
2013.0,UNPROVOKED,PHILIPPINES,M,,N
2013.0,UNPROVOKED,SOUTHAFRICA,M,,N
2013.0,UNPROVOKED,NEWZEALAND,M,,Y
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,FRENCHPOLYNESIA,M,,N
2013.0,UNPROVOKED,JAMAICA,M,,N
2013.0,INVALID,AUSTRALIA,M,,N
2013.0,UNPROVOKED,USA,M,,N
2013.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,SOUTHAFRICA,M,,Y
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,NEWZEALAND,F,,N
2012.0,UNPROVOKED,USA,M,,N
